iter	Passed	Remaining
0	68	68908
1	69	34598
2	69	23148
3	69	17421
4	70	13985
5	70	11696
6	71	10153
7	71	898	77	8532
99	93	9208
10	94	8529
11	96	7941
12	96	7355
13	97	6854
14	97	6419
15	98	6034
16	98	5690
17	98	17	138	7534
18	19	145	7135
20	146	6823
21	146	6534
22	147	6258
23	168	6865
24	169	6603
25	169	6355
26	1727	184	639128	197	6614
29	197	6400
30	1929	237	7666
30	237	7436
31	238	7207
32	239	7021
33	240	6828
34	240	6634
35	240	6452
36	241	6279
37	241	39	290	6968
40	291	6806
41	291	6648
42	291	6496
43	292	6349
44	292	44	326	6932
45	327	6782
46	327	6640
47	327	6503
48	328	6370
49	328	6243
50	329	6122
51	3252	320	5726
53	320	5618
54	321	5520
55	322	55	346	5839
56	403	6681
57	404	6566
58	404	6455
59	405	6348
60	405	6244
61	430	6505
62	431	6418
63	432	6321
64	432	6224
65	433	6134
66	433	6042
67	434	5954
68	435	5873
69	435	5789
70	436	5707
71	436	5629
72	437	5558
73	519	6499
74	519	6409
75	520	6323
76	527	6326
77	528	6244
78	534	6229
79	534	6148
80	536	6082
81	537	6015
82	617	6823
83	620	6770
84	621	6688
85	621	6607
86	622	6528
87	622	6451
88	622	6376
89	623	6303
90	623	6231
91	624	6161
92	624	6092
93	625	6025
94	686	6542
95	691	6514
96	692	6444
97	692	6376
98	693	6311
99	693	6245
100	694	6181
101	695	6120
102	696	6061
103	696	6002
104	697	5943
105	697	5883
106	721	6023
107	722	5965
108	722	5907
109	723	5851
110	723	5795
111	724	5741
112	724	5688
113	724	5634
114	765	5890
115	765	5837
116	766	5784
117	766	5731
118	767	5680
119	772	5668
120	773	5619
121	773	5570
122	805	5740
123	805	5692
124	806	5642
125	806	5594
126	807	5549
127	807	5504
128	808	5458
129	809	5415
130	809	5370
131	829	5455
132	830	5410
133	830	5367
134	830	5324
135	831	5281
136	831	5239
137	832	5197
138	832	5156
139	833	5117
140	833	5076
141	833	5037
142	834	4999
143	834	4961
144	834	4922
145	835	4885
146	901	5230
147	901	5192
148	902	5154
149	902	5116
150	903	5081
151	904	5044
152	910	5039
153	911	5009
154	912	4973
155	912	4938
156	913	4905
157	913	4870
158	914	4838
159	915	4805
160	915	4772
161	916	4741
162	918	4717
163	921	4695
164	923	4671
165	924	4643
166	925	4614
167	925	4583
168	925	4553
169	926	4523
170	926	4493
171	927	4463
172	927	4434
173	958	4551
174	959	4522
175	960	4495
176	960	4467
177	961	4437
178	961	4410
179	962	4384
180	962	4356
181	963	4329
182	963	4302
183	964	4275
184	964	4248
185	964	4222
186	965	4196
187	965	4170
188	966	4145
189	966	4120
190	966	4095
191	967	4070
192	967	4046
193	968	4021
194	968	3998
195	968	3974
196	969	3950
197	969	3927
198	970	3904
199	970	3881
200	970	3859
201	971	3837
202	985	3867
203	986	3848
204	1020	3958
205	1025	3953
206	1031	3950
207	1031	3927
208	1040	3938
209	1040	3915
210	1050	3927
211	1054	3919
212	1054	3897
213	1055	3875
214	1055	3854
215	1056	3833
216	1056	3812
217	1056	3791
218	1132	4037
219	1132	4015
220	1162	4097
221	1162	4075
222	1163	4053
223	1173	4063
224	1173	4042
225	1190	4075
226	1217	4145
227	1269	4297
228	1270	4278
229	1272	4259
230	1275	4244
231	1306	4325
232	1307	4305
233	1309	4286
234	1309	4264
235	1312	4247
236	1313	4228
237	1314	4210
238	1315	4188
239	1316	4168
240	1317	4148
241	1317	4127
242	1318	4106
243	1318	4085
244	1319	4065
245	1319	4045
246	1351	4119
247	1351	4098
248	1352	4078
249	1352	4058
250	1353	4038
251	1353	4018
252	1354	3998
253	1354	3978
2255	1399	4066
256	1401	4052
257	1454	4181
258	1468	4202
259	1470	4184
260	1470	4163
261	1470	4143
262	1471	4122
263	1471	4102
264	1471	4082
265	1472	4062
266	1472	4043
267	1473	4023
268	1473	4004
269	1509	4081
270	1511	4065
271	1511	4046
272	1512	4026
273	1523	4036
274	1551	4089
275	1587	4163
276	1588	4146
277	1589	4128
278	1594	4120
279	1594	4100
280	1625	4159
281	1626	4141
282	1635	4142
283	1636	4126
284	1637	4108
285	1638	4089
286	1639	4072
287	1641	4057
288	1641	4039
289	1642	4021
290	1643	4003
291	1643	3985
292	1644	3967
293	1711	4110
294	1712	4092
295	1713	4074
296	1713	4056
297	1714	4038
298	1715	4020
299	1731	4040
300	1732	4022
301	1732	4004
302	1733	3987
303	1734	3970
304	1734	3953
305	1735	3936
306	1736	3920
307	1736	3902
308	1748	3910
309	1749	3893
310	1750	3877
311	1751	3862
312	1752	3846
313	1752	3828
314	1753	3812
315	1753	3795
316	1753	3779
317	1818	3900
318	1819	3884
319	1820	3868
320	1820	3851
321	1826	3846
322	1827	3829
323	1827	3813
324	1827	3796
325	1828	3780
326	1828	3764
327	1829	3748
328	1830	3732
329	1830	3716
330	1831	3701
331	1831	3685
332	1832	3669
333	1880	3748
334	1887	3747
335	1887	3730
336	1912	3762
337	1912	3746
338	1913	3730
339	1913	3714
340	1914	3699
341	1914	3683
342	1915	3668
343	1915	3652
344	1915	3637
345	1916	3622
346	1916	3606
347	1985	3719
348	1985	3703
349	1985	3688
350	1986	3673
351	1987	3657
352	1988	3643
353	1988	3629
354	1989	3613
355	1989	3599
356	1990	3584
357	1990	3570
358	2028	3622
359	2029	3607
360	2030	3593
361	2031	3579
362	2031	3565
363	2032	3551
364	2032	3536
365	2034	3523
366	2034	3509
367	2035	3495
368	2042	3492
369	2044	3480
370	2046	3469
371	2046	3455
372	2050	3447
373	2052	3435
374	2053	3422
375	2056	3412
376	2058	3401
377	2060	3390
378	2060	3376
379	2087	3406
380	2088	3392
381	2090	3382
382	2091	3369
383	2091	3355
384	2092	3342
385	2094	3331
386	2094	3317
387	2094	3304
388	2095	3291
389	2095	3277
390	2096	3264
391	2179	3380
392	2179	3366
393	2182	3356
394	2183	3343
395	2183	3330
396	2183	3317
397	2184	3303
398	2184	3290
399	2185	3277
400	2185	3264
401	2185	3251
402	2240	3319
403	2241	3306
404	2241	3293
405	2242	3280
406	2242	3267
407	2243	3254
408	2243	3241
409	2244	3229
410	2244	3216
411	2245	3204
412	2247	3194
413	2248	3182
414	2303	3247
415	2336	3280
416	2337	3267
417	2337	3255
418	2339	3243
419	2339	3230
420	2340	3218
421	2375	3254
422	2376	3241
423	2377	3229
424	2377	3217
425	2378	3204
426	2378	3191
427	2379	3179
428	2379	3167
429	2380	3156
430	2393	3159
431	2436	3202
432	2436	3190
433	2436	3178
434	2437	3166
435	2437	3153
436	2438	3141
437	2438	3129
438	2438	3116
439	2439	3104
440	2439	3092
441	2439	3080
442	2440	3068
443	2440	3056
444	2441	3044
445	2441	3032
446	2441	3020
447	2442	3009
448	2442	2997
449	2470	3019
450	2470	3007
451	2471	2995
452	2471	2984
453	2471	2972
454	2471	2960
455	2472	2949
456	2472	2937
457	2472	2926
458	2473	2914
459	2473	2903
460	2478	2897
461	2478	2886
462	2478	2875
463	2479	2864
464	2480	2854
465	2481	2843
466	2481	2832
467	2516	2861
468	2517	2850
469	2517	2839
470	2518	2828
471	2518	2817
472	2519	2806
473	2519	2796
474	2520	2785
475	2520	2775
476	2521	2764
477	2522	2754
478	2522	2743
479	2522	2732
480	2523	2722
481	2524	2712
482	2524	2702
483	2525	2692
484	2525	2681
485	2525	2671
486	2526	2661
487	2527	2651
488	2528	2641
489	2545	2649
490	2545	2639
491	2546	2629
492	2546	2619
493	2547	2609
494	2547	2598
495	2548	2589
496	2548	2579
497	2548	2569
498	2549	2559
499	2549	2549
500	2549	2539
501	2550	2529
502	2551	2520
503	2552	2511
504	2553	2502
505	2554	2493
506	2602	2530
507	2602	2520
508	2602	2510
509	2610	2508
510	2610	2498
511	2631	2508
512	2632	2498
513	2632	2489
514	2633	2479
515	2633	2470
516	2634	2461
517	2634	2451
518	2635	2442
519	2636	2433
520	2636	2423
521	2637	2414
522	2637	2405
523	2638	2396
524	2639	2387
525	2639	2378
526	2640	2369
527	2640	2360
528	2641	2351
529	2641	2342
530	2642	2333
531	2643	2325
532	2643	2316
533	2644	2307
534	2644	2298
535	2645	2290
536	2646	2281
537	2646	2272
538	2646	2263
539	2647	2255
540	2647	2246
541	2648	2237
542	2648	2229
543	2649	2220
544	2649	2211
545	2649	2203
546	2650	2194
547	2650	2186
548	2651	2178
549	2652	2170
550	2652	2161
551	2653	2153
552	2653	2144
553	2654	2136
554	2654	2128
555	2687	2146
556	2691	2140
557	2691	2132
558	2692	2123
559	2692	2115
560	2693	2107
561	2694	2099
562	2694	2091
563	2694	2083
564	2695	2074
565	2695	2066
566	2695	2058
567	2695	2050
568	2696	2042
569	2696	2034
570	2696	2026
571	2759	2065
572	2760	2056
573	2760	2048
574	2760	2040
575	2761	2032
576	2761	2024
577	2762	2016
578	2762	2008
579	2763	2001
580	2764	1993
581	2764	1985
582	2788	1994
583	2788	1986
584	2789	1978
585	2789	1971
586	2790	1963
587	2791	1955
588	2791	1948
589	2792	1940
590	2792	1932
591	2793	1924
592	2793	1917
593	2793	1909
594	2794	1901
595	2795	1894
596	2803	1892
597	2804	1885
598	2804	1877
599	2804	1869
600	2805	1862
601	2826	1868
602	2827	1861
603	2827	1853
604	2827	1846
605	2828	1838
606	2829	1831
607	2829	1824
608	2830	1817
609	2830	1809
610	2831	1802
611	2831	1795
612	2832	1788
613	2832	1780
614	2864	1792
615	2864	1785
616	2864	1778
617	2865	1771
618	2865	1763
619	2880	1765
620	2880	1757
621	2880	1750
622	2881	1743
623	2881	1736
624	2881	1729
625	2895	1729
626	2895	1722
627	2898	1717
628	2899	1709
629	2907	1707
630	2907	1700
631	2907	1693
632	2908	1686
633	2908	1679
634	2908	1672
635	2909	1665
636	2909	1658
637	2931	1663
638	2931	1656
639	2931	1649
640	2932	1642
641	2932	1635
642	2932	1628
643	2933	1621
644	2933	1614
645	2934	1607
646	2934	1600
647	2934	1594
648	2935	1587
649	2935	1580
650	2935	1573
651	2937	1567
652	2937	1561
653	2938	1554
654	2938	1547
655	2938	1541
656	2939	1534
657	2939	1527
658	2939	1521
659	2940	1514
660	2940	1508
661	2941	1501
662	2941	1495
663	2941	1488
664	2942	1482
665	2945	1476
666	2945	1470
667	2945	1464
668	2946	1457
669	2952	1454
670	2953	1447
671	2953	1441
672	2954	1435
673	2954	1429
674	2955	1423
675	2956	1416
676	2956	1410
677	2975	1413
678	2976	1406
679	2976	1400
680	2976	1394
681	2977	1388
682	2977	1381
683	2977	1375
684	2978	1369
685	2978	1363
686	2981	1358
687	2982	1352
688	2982	1346
689	2983	1340
690	2983	1334
691	2984	1328
692	2984	1322
693	2985	1316
694	2985	1310
695	2986	1304
696	2986	1298
697	2986	1292
698	2987	1286
699	2987	1280
700	2987	1274
701	2988	1268
702	2988	1262
703	2989	1256
704	2990	1251
705	2997	1248
706	2998	1242
707	2998	1236
708	2999	1230
709	2999	1225
710	3000	1219
711	3012	1218
712	3013	1212
713	3013	1207
714	3014	1201
715	3014	1195
716	3014	1189
717	3015	1184
718	3015	1178
719	3015	1172
720	3016	1167
721	3016	1161
722	3034	1162
723	3034	1156
724	3035	1151
725	3035	1145
726	3035	1139
727	3036	1134
728	3036	1128
729	3036	1123
730	3037	1117
731	3037	1112
732	3038	1106
733	3038	1101
734	3038	1095
735	3039	1090
736	3039	1084
737	3040	1079
738	3041	1074
739	3042	1068
740	3042	1063
741	3042	1058
742	3043	1052
743	3043	1047
744	3043	1041
745	3043	1036
746	3043	1030
747	3044	1025
748	3044	1020
749	3044	1014
750	3045	1009
751	3045	1004
752	3046	999
753	3046	993
754	3046	988
755	3046	983
756	3047	978
757	3075	982
758	3076	976
759	3076	971
760	3077	966
761	3077	961
762	3078	956
763	3081	951
764	3094	950
765	3095	945
766	3095	940
767	3096	935
768	3096	930
769	3097	925
770	3097	920
771	3115	919
772	3115	914
773	3116	910
774	3117	904
775	3117	899
776	3131	898
777	3135	894
778	3148	893
779	3148	888
780	3159	885
781	3159	880
782	3167	877
783	3168	872
784	3168	867
785	3172	863
786	3172	858
787	3173	853
788	3173	848
789	3173	843
790	3174	838
791	3174	833
792	3174	828
793	3175	823
794	3175	818
795	3179	814
796	3180	810
797	3180	805
798	3181	800
799	3181	795
800	3181	790
801	3182	785
802	3182	780
803	3182	775
804	3183	771
805	3183	766
806	3183	761
807	3184	756
808	3184	751
809	3185	747
810	3185	742
811	3194	739
812	3194	734
813	3194	730
814	3221	731
815	3221	726
816	3221	721
817	3222	716
818	3222	712
819	3230	709
820	3230	704
821	3231	699
822	3231	694
823	3231	690
824	3232	685
825	3232	680
826	3232	676
827	3233	671
828	3233	667
829	3234	662
830	3234	657
831	3234	653
832	3235	648
833	3235	643
834	3235	639
835	3235	634
836	3236	630
837	3236	625
838	3237	621
839	3237	616
840	3237	612
841	3238	607
842	3238	603
843	3238	598
844	3239	594
845	3240	589
846	3240	585
847	3240	580
848	3241	576
849	3241	572
850	3241	567
851	3242	563
852	3249	559
853	3250	555
854	3250	551
855	3251	546
856	3251	542
857	3252	538
858	3253	533
859	3253	529
860	3254	525
861	3254	521
862	3254	516
863	3255	512
864	3255	508
865	3255	503
866	3256	499
867	3256	495
868	3256	490
869	3257	486
870	3257	482
871	3258	478
872	3258	474
873	3258	469
874	3259	465
875	3259	461
876	3259	457
877	3260	453
878	3260	448
879	3260	444
880	3261	440
881	3261	436
882	3261	432
883	3262	428
884	3262	423
885	3263	419
886	3263	415
887	3263	411
888	3264	407
889	3264	403
890	3264	399
891	3265	395
892	3265	391
893	3266	387
894	3266	383
895	3266	379
896	3267	375
897	3267	371
898	3267	367
899	3268	363
900	3268	359
901	3269	355
902	3269	351
903	3269	347
904	3270	343
905	3270	339
906	3271	335
907	3271	331
908	3271	327
909	3272	323
910	3272	319
911	3272	315
912	3273	311
913	3273	308
914	3273	304
915	3274	300
916	3274	296
917	3275	292
918	3275	288
919	3275	284
920	3276	281
921	3276	277
922	3276	273
923	3277	269
924	3277	265
925	3277	261
926	3278	258
927	3278	254
928	3278	250
929	3279	246
930	3279	243
931	3280	239
932	3280	235
933	3280	231
934	3281	228
935	3281	224
936	3281	220
937	3282	216
938	3282	213
939	3283	209
940	3283	205
941	3283	202
942	3284	198
943	3284	194
944	3284	191
945	3285	187
946	3285	183
947	3285	180
948	3286	176
949	3286	172
950	3286	169
951	3287	165
952	3287	162
953	3287	158
954	3288	154
955	3288	151
956	3288	147
957	3289	144
958	3289	140
959	3289	137
960	3290	133
961	3290	129
962	3290	126
963	3291	122
964	3291	119
965	3292	115
966	3292	112
967	3292	108
968	3293	105
969	3293	101
970	3293	98
971	3294	94
972	3294	91
973	3294	87
974	3295	84
975	3295	81
976	3295	77
977	3296	74
978	3296	70
979	3297	67
980	3297	63
981	3297	60
982	3298	57
983	3298	53
984	3298	50
985	3299	46
986	3299	43
987	3299	40
988	3300	36
989	3300	33
990	3300	29
991	3301	26
992	3301	23
993	3301	19
994	3302	16
995	3302	13
996	3303	9
997	3303	6
998	3303	3
999	3304	0
